[IPSM]; DEBUG; 2018-09-03 00:09:03.406; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:09:03.410; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:09:03.419; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:09:03.419; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPSM]; DEBUG; 2018-09-03 00:11:03.423; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:11:03.427; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:11:03.431; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:11:03.431; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPCM]; DEBUG; 2018-09-03 00:11:09.863; [Gerenciamento]; Buscando processos de integrador a serem enviados ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:11:10.008; [Gerenciamento]; Finalizado processo de envio do integrador ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:11:10.009; [Gerenciamento]; Iniciando limpeza de processos do Integrador SAT obsoletos; 
[TRI_1]; INFO ; 2018-09-03 00:11:19.325; [QueueManager]; Sem processamento a 260 minutos; 
[TG_1]; INFO ; 2018-09-03 00:11:19.325; [QueueManager]; Sem processamento a 260 minutos; 
[TIN_1]; INFO ; 2018-09-03 00:11:19.326; [QueueManager]; Sem processamento a 260 minutos; 
[TFCO_1]; INFO ; 2018-09-03 00:11:20.326; [QueueManager]; Sem processamento a 260 minutos; 
[TE_2]; INFO ; 2018-09-03 00:11:20.327; [QueueManager]; Sem processamento a 260 minutos; 
[TI_2]; INFO ; 2018-09-03 00:11:20.327; [QueueManager]; Sem processamento a 260 minutos; 
[TFC_21]; INFO ; 2018-09-03 00:11:20.327; [QueueManager]; Sem processamento a 260 minutos; 
[TB_1]; INFO ; 2018-09-03 00:11:20.330; [QueueManager]; Sem processamento a 260 minutos; 
[TI_22]; INFO ; 2018-09-03 00:11:20.330; [QueueManager]; Sem processamento a 260 minutos; 
[TE_1]; INFO ; 2018-09-03 00:11:20.330; [QueueManager]; Sem processamento a 260 minutos; 
[TC_22]; INFO ; 2018-09-03 00:11:20.330; [QueueManager]; Sem processamento a 260 minutos; 
[TC_21]; INFO ; 2018-09-03 00:11:20.330; [QueueManager]; Sem processamento a 260 minutos; 
[TC_2]; INFO ; 2018-09-03 00:11:20.330; [QueueManager]; Sem processamento a 260 minutos; 
[TE_22]; INFO ; 2018-09-03 00:11:20.330; [QueueManager]; Sem processamento a 260 minutos; 
[TB_2]; INFO ; 2018-09-03 00:11:20.330; [QueueManager]; Sem processamento a 260 minutos; 
[TE_21]; INFO ; 2018-09-03 00:11:20.330; [QueueManager]; Sem processamento a 260 minutos; 
[TR_1]; INFO ; 2018-09-03 00:11:20.330; [QueueManager]; Sem processamento a 260 minutos; 
[TB_22]; INFO ; 2018-09-03 00:11:20.330; [QueueManager]; Sem processamento a 260 minutos; 
[TRI_21]; INFO ; 2018-09-03 00:11:21.325; [QueueManager]; Sem processamento a 260 minutos; 
[TG_21]; INFO ; 2018-09-03 00:11:21.325; [QueueManager]; Sem processamento a 260 minutos; 
[TIN_21]; INFO ; 2018-09-03 00:11:21.325; [QueueManager]; Sem processamento a 260 minutos; 
[TFP2_21]; INFO ; 2018-09-03 00:11:21.327; [QueueManager]; Sem processamento a 260 minutos; 
[TR_21]; INFO ; 2018-09-03 00:11:21.331; [QueueManager]; Sem processamento a 260 minutos; 
[TI_21]; INFO ; 2018-09-03 00:11:21.332; [QueueManager]; Sem processamento a 260 minutos; 
[TB_21]; INFO ; 2018-09-03 00:11:21.332; [QueueManager]; Sem processamento a 260 minutos; 
[TFP2_1]; INFO ; 2018-09-03 00:11:22.328; [QueueManager]; Sem processamento a 260 minutos; 
[TEL_J21]; INFO ; 2018-09-03 00:11:22.332; [QueueManager]; Sem processamento a 260 minutos; 
[TFCI_21]; INFO ; 2018-09-03 00:11:22.332; [QueueManager]; Sem processamento a 260 minutos; 
[TFCI_1]; INFO ; 2018-09-03 00:11:22.332; [QueueManager]; Sem processamento a 260 minutos; 
[TEL_J1]; INFO ; 2018-09-03 00:11:23.326; [QueueManager]; Sem processamento a 260 minutos; 
[TFCO_21]; INFO ; 2018-09-03 00:11:23.333; [QueueManager]; Sem processamento a 260 minutos; 
[IPSM]; DEBUG; 2018-09-03 00:13:03.435; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:13:03.439; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:13:03.449; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:13:03.449; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPSM]; DEBUG; 2018-09-03 00:15:03.453; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:15:03.458; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:15:03.467; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:15:03.467; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPCM]; DEBUG; 2018-09-03 00:16:10.024; [Gerenciamento]; Buscando processos de integrador a serem enviados ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:16:10.173; [Gerenciamento]; Finalizado processo de envio do integrador ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:16:10.173; [Gerenciamento]; Iniciando limpeza de processos do Integrador SAT obsoletos; 
[IPSM]; DEBUG; 2018-09-03 00:17:03.471; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:17:03.480; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:17:03.489; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:17:03.489; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[TFC_1]; INFO ; 2018-09-03 00:17:19.760; [QueueManager]; Sem processamento a 220 minutos; 
[TC_1]; INFO ; 2018-09-03 00:17:23.764; [QueueManager]; Sem processamento a 220 minutos; 
[TI_1]; INFO ; 2018-09-03 00:17:24.762; [QueueManager]; Sem processamento a 220 minutos; 
[IPSM]; DEBUG; 2018-09-03 00:19:03.493; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:19:03.497; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:19:03.507; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:19:03.508; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPSM]; DEBUG; 2018-09-03 00:21:03.512; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:21:03.517; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:21:03.522; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:21:03.522; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPCM]; DEBUG; 2018-09-03 00:21:10.185; [Gerenciamento]; Buscando processos de integrador a serem enviados ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:21:10.330; [Gerenciamento]; Finalizado processo de envio do integrador ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:21:10.330; [Gerenciamento]; Iniciando limpeza de processos do Integrador SAT obsoletos; 
[TRI_1]; INFO ; 2018-09-03 00:21:20.212; [QueueManager]; Sem processamento a 270 minutos; 
[TIN_1]; INFO ; 2018-09-03 00:21:20.212; [QueueManager]; Sem processamento a 270 minutos; 
[TG_1]; INFO ; 2018-09-03 00:21:20.212; [QueueManager]; Sem processamento a 270 minutos; 
[TFCO_1]; INFO ; 2018-09-03 00:21:21.189; [QueueManager]; Sem processamento a 270 minutos; 
[TB_22]; INFO ; 2018-09-03 00:21:21.212; [QueueManager]; Sem processamento a 270 minutos; 
[TR_1]; INFO ; 2018-09-03 00:21:21.212; [QueueManager]; Sem processamento a 270 minutos; 
[TB_1]; INFO ; 2018-09-03 00:21:21.212; [QueueManager]; Sem processamento a 270 minutos; 
